Source,Plx,Gmag,BPmag,RPmag
5644320817825438336,5.0,16.582672,18.160305,15.341514
4356691301803341312,5.0,19.067764,21.017561,17.780836
5970506644601089536,5.0,20.751532,,
2161526992763378304,5.0,17.214731,18.782272,15.998942
4108111380904021888,5.0,20.536812,21.256948,18.789919
1966440949590762368,5.0,19.61108,19.772955,19.332052
281636677936025984,5.0,20.929361,20.91027,20.209757
6028105901276450816,5.0,20.47197,22.701996,20.36358
1752348065522170368,5.0,20.397976,21.171679,19.094566
4116583977040281856,5.0,19.983828,20.435698,18.715834
4154704835362440064,5.0,20.68786,21.011055,19.358753
4132207349957947648,5.0,20.812323,20.894506,20.187656
6015969594976697984,5.0,20.689604,21.20451,19.445286
4694951866496296320,5.0,9.902178,10.234274,9.398802
5315487023440090368,5.0,15.75482,16.975454,14.657747
5924458513536452992,5.0,20.520891,21.039669,19.417048
6035790044437926272,5.0,20.87229,21.17471,19.714563
2133083172415157888,5.0,19.791708,21.33467,18.357973
6628357164593781248,5.0,13.928566,14.673595,12.968369
5061122017735927168,5.0,20.82275,21.491535,19.554808
2003155773147352832,5.0,18.09311,20.143835,16.675304
6437169306759230720,5.0,19.794626,20.627254,18.613096
2674889968203746944,5.0,16.452547,17.963621,15.253648
4040304636238857088,5.0,18.586184,18.985512,17.593681
6732576298388069504,5.0,17.501165,19.02896,16.292322
4061876160999110656,5.0,20.616112,20.960697,20.611464
1771887800188346880,5.0,16.543465,18.000849,15.364922
1834567487762031872,5.0,20.39216,21.101437,18.850914
5865194252808604160,5.0,20.685637,,
3222268672313101952,5.0,13.380705,14.038744,12.603619
366225229900888064,5.0,20.444744,21.450272,19.006178
4260829933861253632,5.0,12.675909,13.19494,12.002255
4036182120480282752,5.0,20.488163,21.382423,19.563023
6034390709736260352,5.0,20.662489,21.305918,20.154676
5696977151226560640,5.0,16.662148,17.837214,15.446345
793268571102192384,5.0,9.725111,9.955123,9.319124
4363224913430942208,5.0,11.43679,11.97427,10.736404
4535134140559545728,5.0,16.907288,17.420359,15.390615
2177847112582120704,5.0,20.547228,20.701912,20.31891
5865487513052239616,5.0,20.805946,21.277756,19.083965
3995771524744446336,5.0,17.34468,18.87682,16.141163
5876515202338848640,5.0,20.786875,21.473944,19.753063
5149098817861390848,5.0,12.244159,12.662343,11.663912
4285011772274765568,5.0,20.747076,21.35321,19.571318
4169578616307659520,5.0,20.748188,,
4538144706471843328,5.0,14.09771,14.952281,13.190384
4043402372817166976,5.0,19.747389,19.706516,17.812878
6037200030648062464,5.0,20.708765,21.154207,20.076786
4275881767016840704,5.0,20.962757,21.824669,20.101639
5011913409194668160,5.0,20.825712,21.560598,19.725916
5931551806716136960,5.0,20.660236,20.856575,19.686623
2069806724914934400,5.0,16.480587,17.5284,15.243519
3041159311714744320,5.0,19.392996,19.56125,19.204935
4049565066826132480,5.0,18.83033,18.739939,17.607908
4107920169005655936,5.0,16.610693,18.134796,15.237271
4040589031741308416,5.0,19.879818,,
1831139519737375744,5.0,20.904486,,
4065601164826383616,5.0,19.615486,,
5986043637262582528,5.0,20.774485,21.29498,18.761856
5993845462541761920,5.0,20.645214,21.650295,19.719856
4117394798104622208,5.0,20.419325,22.012968,18.31147
801539441163416832,5.0,17.996817,17.995157,18.117167
6077482082233703936,5.0,20.801613,21.515722,20.05804
5605381128183232000,5.0,18.576681,20.63174,17.183321
6291135019914702720,5.0,13.495405,14.298589,12.608034
